sourceId,name,adapter,sourceKind,currentAiAllowed,documents,relevantDocuments,usefulDocuments,activeEvents,tatarRelevant,multiDateRelevant,multiAddressRelevant,multiEventRelevant,longRelevant,complexRelevant,aiCompleted,aiFailed,recommendedPolicy,reason
tg-avianovsav,Администрация Авиастроительного и Ново-Савиновского районов Казани · Telegram,telegram,official,False,81,26,9,33,1,2,5,3,0,7,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
mchs-news,ГУ МЧС России по Республике Татарстан,rss,official,True,10,1,0,2,0,0,0,0,0,0,1,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
kazan-vodokanal-accidents,Казанский Водоканал — аварийные отключения,vodokanal-incidents,utility,True,7,7,7,7,0,0,0,0,0,0,7,0,local_only,Структурированный шаблон: локальный парсер точнее и дешевле модели.
kfu-news,Казанский федеральный университет,rss,media,True,50,19,5,15,0,2,0,0,14,14,19,0,permanent_ai,Поток преимущественно многособытийный или содержит несколько дат и адресов.
tg-kvb_kzn,Комитет внешнего благоустройства Казани · Telegram,telegram,official,False,32,13,2,16,0,0,5,1,0,5,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
mchs-weather,МЧС Татарстана — штормовые предупреждения,rss,official,True,3,2,0,2,0,1,0,0,0,1,2,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-141304b6e28d6c89,МЧС Татарстана — штормовые предупреждения · Telegram,telegram,official,False,0,0,0,0,0,0,0,0,0,0,0,0,local_only,За окно нет локально значимых публикаций для модельного разбора.
tg-kzn_official,Мэрия Казани · Telegram,telegram,official,False,122,38,14,38,1,3,1,0,0,5,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
chelny-official-news,Набережные Челны — официальные новости,rss,official,True,11,1,1,0,0,0,0,0,0,0,1,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rosstat-news,Татарстанстат,rss,official,True,20,19,0,0,0,0,0,0,0,0,19,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-053b4b3d44cb9c9c,Татмедиа: agryz-rt.ru,rss,media,False,90,21,12,21,0,0,1,0,1,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-373cd644768f6a61,Татмедиа: agryz-rt.ru · Telegram,telegram,media,False,39,6,0,6,1,0,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-5d42167c67e7a2ac,Татмедиа: aksubayevo.ru,rss,media,False,77,10,6,10,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
tg-0a1a0a0de4a56c80,Татмедиа: aksubayevo.ru · Telegram,telegram,media,False,45,7,3,7,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-74fe895921c52b02,Татмедиа: aktanysh-rt.ru,rss,media,False,56,7,1,31,2,1,1,1,0,4,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-19e141df46c13eab,Татмедиа: alabuganury.ru,rss,media,False,107,22,9,23,0,2,2,1,0,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-325f085332c9a6f5,Татмедиа: alabuganury.ru · Telegram,telegram,media,False,57,11,5,12,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-ce34da5c9dfb0dcb,Татмедиа: alekseyevsk.ru,rss,media,False,97,19,7,19,0,2,0,0,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
