id,legacyId,title,state,publishedAt,lastEvidenceAt,territoryId,precision,address,longitude,latitude,confidence,sourceKind,sourceUrl,usefulnessLevel,usefulnessScore,reviewed,evidenceCount,documentCount,publishReady,mapReady,sceneReady,auditResult,reasons,warnings,triage
evt_17d6e16579d80db14c036ff9,,В республике с сегодняшнего дня открылся массовый осенний сезон охоты на пернатую дичь.,resolved,2026-09-05T17:27:00Z,2026-09-05T19:06:47Z,mo-92654000,territory,,,,low,media,https://yutazy.ru/news/obschestvo/v-tatarstane-startoval-sezon-massovoi-oxoty-na-pernatuiu-dic,context,59,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_30601f8f6cca22922dac218e,,Мечта с детства: в Менделеевске открылся новый боксёрский клуб,resolved,2026-09-05T17:04:00Z,2026-09-05T19:06:43Z,mo-92639101,settlement,Менделеевск,52.312064,55.894251,low,media,https://mendeleevskyi.ru/news/gorod-i-gorozhane/mecta-s-detstva-v-mendeleevske-otkrylsia-novyi-bokserskii-klub,useful,79,False,1,1,True,False,False,ready,[],[],publish_now
evt_b67a0b3de9d63ceab7fdcc12,,В Лаишево торжественно открыли обновлённый двор,resolved,2026-09-05T16:13:00Z,2026-09-05T19:06:42Z,mo-92634101,building,"улица Салиха Сайдашева, 16",49.5622337,55.4095818,low,media,https://laishevskyi.ru/news/novosti/v-laisevo-torzestvenno-otkryli-obnovlennyi-dvor,useful,89,False,1,1,True,True,False,ready,[],[],publish_now
evt_58efd1dffa55f469245eb9ee,,В Татарстане начался осенний сезон охоты на пернатую дичь,unknown,2026-09-05T15:32:56Z,2026-09-05T19:08:56Z,,territory,,,,medium,media,https://t.me/tatmediaofficial/158634,useful,79,False,1,1,True,False,False,ready,[],[],publish_now
evt_fb6a52a4c96f97b469272eb2,,Преподаватель Спасского техникума отраслевых технологий получила золотой знак ГТО,unknown,2026-09-05T15:32:00Z,2026-09-05T19:06:47Z,mo-92632000,territory,,,,low,media,https://spas-rt.ru/news/sport/prepodavatel-spasskogo-texnikuma-otraslevyx-texnologii-polucila-zolotoi-znak-gto,context,0,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],context
evt_327b0974f1b96949b46e2d83,,"Пожар в частном доме в Красноармейке, Альметьевский район",reported,2026-09-05T15:08:59Z,2026-09-05T19:09:20Z,mo-92608101,territory,,,,medium,media,https://t.me/atannary/29086,context,30,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_9addd4313722fb4595c2bd09,,Глава Лаишевского района Ильдус Зарипов открыл полосу препятствий,reported,2026-09-05T15:05:00Z,2026-09-05T19:06:42Z,mo-92634000,territory,,,,low,media,https://laishevskyi.ru/news/novosti/glava-laisevskogo-raiona-ildus-zaripov-otkryl-polosu-prepiatstvi,context,0,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],context
evt_5d4b1df9c1f051f30eea5bf7,,🐄 6 тысяч голов дойного стада 💰 5 миллиардов рублей инвестиций 📐 150 тысяч квадратных метров — общая площадь объекта 🌾 11 тысяч тонн сенажа уже заложено на хран,reported,2026-09-05T15:03:16Z,2026-09-05T19:06:25Z,mo-92601101,territory,,,,low,media,https://t.me/agr_vesti/55807,context,36,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_9ddfa401268215d50c6268b0,,Льготы для автомобилистов в 2026 году: какие действуют в Татарстане,reported,2026-09-05T14:49:01Z,2026-09-05T19:06:27Z,mo-92614000,territory,,,,low,media,https://t.me/BavlyinformNEWS/44454,context,16,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_8242104078dc4eb9acfaf99c,,Управляющая организация должна подготовить документ не позднее 30 дней после завершения работ и в течение пяти дней передать его председателю совета дома или чл,reported,2026-09-05T14:45:40Z,2026-09-05T19:06:26Z,mo-92608000,territory,,,,low,media,https://t.me/uvt24/32702,context,0,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],context
evt_a350a2f837c46a994ffac39c,,В Менделеевске официально открылся боксерский клуб «Барс»!,resolved,2026-09-05T14:43:48Z,2026-09-05T19:06:31Z,mo-92639101,settlement,Менделеевск,52.312064,55.894251,low,media,https://t.me/mndnews/80827,useful,79,False,1,1,True,False,False,ready,[],[],publish_now
evt_d4ae7c8f7f25df0087f1d045,,"Сегодня, в рамках празднования Дня города, состоялось торжественное открытие уникальной спортивной площадки на территории Гимназии №1.",reported,2026-09-05T14:35:41Z,2026-09-05T19:06:30Z,mo-92634101,settlement,Лаишево,49.5468376,55.4043358,low,media,https://t.me/novayakama/54843,context,20,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_9ea6b77ee2be82f8e9a1d6a5,,Жителям Заинского района напомнили о номере единой службы спасения,reported,2026-09-05T14:30:02Z,2026-09-05T19:06:29Z,mo-92627000,territory,,,,low,media,https://t.me/zainsknews/61070,context,0,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],context
evt_db038d5e5eb89ee92535d929,,В Татарстане завершили модернизацию светофоров по нацпроекту,reported,2026-09-05T14:19:00Z,2026-09-05T19:09:56Z,mo-92656000,territory,,,,medium,media,https://tulachi.ru/news/v-respublike/tatarstanda-ilkulam-proekt-buenca-svetoforlarny-modernizaciialau-eslare-togallande,context,16,False,2,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_52f5fb675953917b218186cf,,Подробности пожара в термальном комплексе Челнов,reported,2026-09-05T14:18:06Z,2026-09-05T19:06:35Z,mo-92730000,territory,,,,low,media,https://t.me/chelnytv/46190,context,20,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_fc0b3cf842ac7234423a82dd,,Какие льготы доступны автомобилистам Татарстана в 2026 году?,unknown,2026-09-05T14:09:01Z,2026-09-05T19:06:30Z,mo-92633000,territory,,,,low,media,https://t.me/kukmor_tatarstan/56205,context,16,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_18a446ae304607297518373d,,Ученики Центра внешкольной работы совершили производственную экскурсию на Буинский моторный завод,reported,2026-09-05T14:06:56Z,2026-09-05T19:06:28Z,mo-92618000,territory,,,,low,media,https://t.me/buinsknews/47243,context,36,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_729418f96b157eddee8534ff,,"В Мамадышском районе продолжаются масштабные дорожные работы. Одна из ключевых точек приложения сил подрядчиков сегодня — это посёлок Сервеный. Здесь на улице Юлии Запольской дорожники приступили к важному этапу строительства. И этот объект — не просто очередной километр асфальта, а настоящий путь к новым домам для многодетных семей.",reported,2026-09-05T14:04:59Z,2026-09-05T19:06:30Z,mo-92638000,territory,,,,low,media,https://t.me/novosti_mamadysha/63928,useful,89,False,1,1,True,False,False,ready,[],[],publish_now
evt_7929ade4d77c9deb7dd41334,,Учителя обсудили итоги экзаменов и планы на новый учебный годВ ра,reported,2026-09-05T14:04:01Z,2026-09-05T19:06:32Z,mo-92640000,territory,,,,low,media,https://t.me/smi_menzela/28822,context,16,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_8aeb97d38ba04abb840048ec,,Ожидаются усиление ветра и грозы,planned,2026-09-05T14:00:00Z,2026-09-05T19:06:44Z,mo-92701000,territory,,,,low,media,https://nurlat-tat.ru/news/pogoda/ozidaiutsia-usilenie-vetra-i-grozy,context,20,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_ea303524552d5859dcda877f,,В Татарстане разработали первый проект рекультивации нарушенных сельхозземель,unknown,2026-09-05T14:00:00Z,2026-09-05T19:06:39Z,mo-92620000,territory,,,,low,media,https://vuslon.ru/news/obschestvo/v-tatarstane-razrabotali-pervyi-proekt-rekultivacii-narusennyx-selxozzemel,context,0,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],context
evt_60648077e15a57ef08b1e357,,"Новый знак представят позже, когда завершат все формальности.",reported,2026-09-05T13:58:37Z,2026-09-05T19:06:28Z,mo-92617412,territory,,,,low,media,https://t.me/drozzanoe90/20812,useful,79,False,1,1,True,False,False,ready,[],[],publish_now
evt_da4bcf9d79bf8bbdfd087814,,Улетел в кювет: в Татарстане водитель Chery погиб в ДТП,reported,2026-09-05T13:45:11Z,2026-09-05T19:06:34Z,mo-92626432,territory,,,,low,media,https://t.me/chelny_news1/48674,context,30,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_94579c8a9e6b9d736ceb1f8d,,Смертельное ДТП произошло в Елабужском районе,reported,2026-09-05T13:38:22Z,2026-09-05T19:06:29Z,mo-92626432,territory,,,,low,media,https://t.me/ElabugaNK/46296,context,20,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_37914c2b7f16a216e991e51c,,Штормовое предупреждение в Татарстане,reported,2026-09-05T13:20:00Z,2026-09-05T19:06:47Z,mo-92654000,territory,,,,low,media,https://yutazy.ru/news/pogoda/stormovoe-preduprezdenie-v-tatarstane,context,24,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_9a26cadc6d41cd1d461d3ac9,,В Татарстане в 2026 году доступны скидки и субсидии при покупке автомобиля,reported,2026-09-05T13:20:00Z,2026-09-05T19:10:34Z,mo-92613000,territory,,,,medium,media,https://atnya-rt.ru/news/khbrlr/2026-elda-avtomobilcelar-taslamalardan-ham-subsidiialardan-faidalana-ala,context,0,False,2,1,False,False,False,needs_review,['not_editorially_useful'],[],context
evt_d411f743b469bb03f1388b65,,В колледже Бугульмы состоялся диктант безопасности,reported,2026-09-05T13:05:03Z,2026-09-05T19:06:28Z,mo-92617101,territory,,,,low,media,https://t.me/bugulgazeta/58370,context,20,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
evt_94c665b1594bb47efa69571c,,"Завхоз общежития напомнила о тишине после 23:00, бережном отношении к ремонту и чистоте в комнатах.",resolved,2026-09-05T13:03:59Z,2026-09-05T19:06:34Z,mo-92659000,territory,,,,low,media,https://t.me/chistopol_news/42021,context,59,False,1,1,False,False,False,needs_review,['not_editorially_useful'],[],priority_review
