id,legacyId,title,state,publishedAt,lastEvidenceAt,territoryId,precision,address,longitude,latitude,confidence,sourceKind,sourceUrl,usefulnessLevel,usefulnessScore,reviewed,evidenceCount,documentCount,publishReady,mapReady,sceneReady,auditResult,reasons,warnings,sourceReachable,sourceHttpStatus,sourceFinalUrl,disposition,sourceProbeError
evt_626798ec4081c16088d3feab,,В Аксубаевской школе №3 открылся агрокласс по направлению «Агроинженерия»,resolved,2026-09-05T19:22:36Z,2026-09-05T20:08:07Z,mo-92604151,territory,,,,low,media,https://t.me/selskayanovaksubaevo/34767,useful,87,False,1,1,True,False,False,ready,,,True,200,https://t.me/selskayanovaksubaevo/34767,publish_ready,
evt_a8e4a5172c5f588a04db4f68,,"🚴 на велосипеде/мотоцикле — остановитесь, отойдите на 30 метров; 🚗 в машине — закройте окна и переждите; 🏞 на открытой местности — ложитесь в низину, подальше о",reported,2026-09-05T18:56:50Z,2026-09-05T20:10:14Z,mo-92701000,territory,,,,low,media,https://t.me/drozzanoe90/20821,context,36,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/drozzanoe90/20821,fact_and_geo_recheck,
evt_f1e51f22c7d0a59702f5389c,,"В Лаишевском районе инспекторы ДПС открыли огонь по колесам Lada (ВАЗ) 2114, за рулем которого оказался подросток без прав.",resolved,2026-09-05T18:35:00Z,2026-09-05T19:32:00Z,mo-92634000,territory,,,,low,media,https://laishevskyi.ru/news/bezopasnost-doroznogo-dvizeniia/policeiskie-primenili-oruzie-dlia-ostanovki-avtomobilia-v-laisevskom-raione,useful,79,False,1,1,False,False,False,needs_review,summary_too_short,,True,200,https://laishevskyi.ru/news/bezopasnost-doroznogo-dvizeniia/policeiskie-primenili-oruzie-dlia-ostanovki-avtomobilia-v-laisevskom-raione,fact_and_geo_recheck,
evt_d701b6cda51eb7ecc3116e62,,В Татарстане открыт осенний сезон охоты,resolved,2026-09-05T17:34:08Z,2026-09-05T20:10:56Z,mo-92622000,territory,,,,medium,media,https://t.me/vgora_vesti/45740,useful,87,False,1,1,True,False,False,ready,,,True,200,https://t.me/vgora_vesti/45740,publish_ready,
evt_a822c571430a28cbc281c557,,На дорогах района зафиксировали рост нарушений ПДД,resolved,2026-09-05T17:28:16Z,2026-09-05T20:08:40Z,mo-92613000,territory,,,,medium,media,https://t.me/atnatani/14072,context,0,False,2,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/atnatani/14072,context_only,
evt_17d6e16579d80db14c036ff9,,В республике с сегодняшнего дня открылся массовый осенний сезон охоты на пернатую дичь.,resolved,2026-09-05T17:27:00Z,2026-09-05T19:32:05Z,mo-92654000,territory,,,,low,media,https://yutazy.ru/news/obschestvo/v-tatarstane-startoval-sezon-massovoi-oxoty-na-pernatuiu-dic,context,59,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://yutazy.ru/news/obschestvo/v-tatarstane-startoval-sezon-massovoi-oxoty-na-pernatuiu-dic,fact_and_geo_recheck,
evt_c9c2173953c832cc78e70768,,До 200 тысяч рублей – на оборудование рабочего места!,reported,2026-09-05T17:05:02Z,2026-09-05T20:00:51Z,mo-92644423,territory,,,,low,media,https://t.me/agr_vesti/55811,context,50,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/agr_vesti/55811,fact_and_geo_recheck,
evt_30601f8f6cca22922dac218e,,Мечта с детства: в Менделеевске открылся новый боксёрский клуб,resolved,2026-09-05T17:04:00Z,2026-09-05T19:32:01Z,mo-92639101,settlement,Менделеевск,52.312064,55.894251,low,media,https://mendeleevskyi.ru/news/gorod-i-gorozhane/mecta-s-detstva-v-mendeleevske-otkrylsia-novyi-bokserskii-klub,useful,79,False,1,1,True,False,False,ready,,,True,200,https://mendeleevskyi.ru/news/gorod-i-gorozhane/mecta-s-detstva-v-mendeleevske-otkrylsia-novyi-bokserskii-klub,publish_ready,
evt_d0ac70ef89496764820d233a,,"Только представьте: сказочный остров, осенний воздух, от которого кружится голова, и потрясающая наваристая уха… 🐟🔥 Начали по традиции с торжественного шествия",reported,2026-09-05T16:59:51Z,2026-09-05T20:11:02Z,mo-92628477,territory,,,,low,media,https://t.me/zpravda/108635,context,20,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/zpravda/108635,fact_and_geo_recheck,
evt_b1a407f71a021221ea009be3,,"В ОСФР по РТ объяснили, как работодателям снизить штраф за ошибки в отчетах",unknown,2026-09-05T16:55:26Z,2026-09-05T20:08:46Z,mo-92614000,territory,,,,low,media,https://t.me/BavlyinformNEWS/44455,context,36,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/BavlyinformNEWS/44455,fact_and_geo_recheck,
evt_25d6774990e7be6987d137c4,,Студент Елабужского института КФУ стал лауреатом стипендии Президента РФ,unknown,2026-09-05T16:45:22Z,2026-09-05T20:10:14Z,,territory,,,,low,media,https://t.me/ElabugaNK/46304,context,0,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/ElabugaNK/46304,context_only,
evt_879b4904526ec986fa2a79e3,,С наступлением холодов риск респираторных инфекций возрастает. Люди старше 60 лет — в зоне особого риска: у них чаще развиваются тяжёлые осложнения.,unknown,2026-09-05T16:38:54Z,2026-09-05T20:17:11Z,mo-92659000,territory,,,,low,media,https://t.me/chistopol_news/42024,context,0,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/chistopol_news/42024,context_only,
evt_02e5a55bed4543a4a935fc79,,Ак Барс» на казанском льду открыл сезон 2026/27 победой,resolved,2026-09-05T16:32:35Z,2026-09-05T20:00:51Z,,territory,,,,low,media,https://t.me/tatmediaofficial/158635,context,59,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/tatmediaofficial/158635,fact_and_geo_recheck,
evt_fdeea63cc81513d068f21f16,,В Лаишево торжественно открыли обновлённый двор,resolved,2026-09-05T16:13:00Z,2026-09-05T19:33:15Z,mo-92634101,settlement,Лаишево,49.5468376,55.4043358,medium,media,https://laishevskyi.ru/news/novosti/v-laisevo-torzestvenno-otkryli-obnovlennyi-dvor,useful,79,False,2,1,True,False,False,ready,,,True,200,https://laishevskyi.ru/news/novosti/v-laisevo-torzestvenno-otkryli-obnovlennyi-dvor,publish_ready,
evt_b9b51b3838298c63a974d12d,,В Татарстане открыт осенний сезон охоты на пернатую дичь,unknown,2026-09-05T15:32:56Z,2026-09-05T19:34:28Z,,territory,,,,medium,media,https://t.me/tatmediaofficial/158634,useful,79,False,1,1,True,False,False,ready,,,True,200,https://t.me/tatmediaofficial/158634,publish_ready,
evt_fb6a52a4c96f97b469272eb2,,Преподаватель Спасского техникума отраслевых технологий получила золотой знак ГТО,unknown,2026-09-05T15:32:00Z,2026-09-05T19:32:04Z,mo-92632000,territory,,,,low,media,https://spas-rt.ru/news/sport/prepodavatel-spasskogo-texnikuma-otraslevyx-texnologii-polucila-zolotoi-znak-gto,context,0,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://spas-rt.ru/news/sport/prepodavatel-spasskogo-texnikuma-otraslevyx-texnologii-polucila-zolotoi-znak-gto,context_only,
evt_29f8670ac7aa13b70b611834,,Пожар в частном доме в мкр Красноармейка Альметьевского района,reported,2026-09-05T15:08:59Z,2026-09-05T19:34:01Z,mo-92608101,territory,,,,medium,media,https://t.me/atannary/29086,context,30,False,2,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/atannary/29086,fact_and_geo_recheck,
evt_9addd4313722fb4595c2bd09,,Глава Лаишевского района Ильдус Зарипов открыл полосу препятствий,reported,2026-09-05T15:05:00Z,2026-09-05T19:32:00Z,mo-92634000,territory,,,,low,media,https://laishevskyi.ru/news/novosti/glava-laisevskogo-raiona-ildus-zaripov-otkryl-polosu-prepiatstvi,context,0,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://laishevskyi.ru/news/novosti/glava-laisevskogo-raiona-ildus-zaripov-otkryl-polosu-prepiatstvi,context_only,
evt_5d4b1df9c1f051f30eea5bf7,,🐄 6 тысяч голов дойного стада 💰 5 миллиардов рублей инвестиций 📐 150 тысяч квадратных метров — общая площадь объекта 🌾 11 тысяч тонн сенажа уже заложено на хран,reported,2026-09-05T15:03:16Z,2026-09-05T19:31:43Z,mo-92601101,territory,,,,low,media,https://t.me/agr_vesti/55807,context,36,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/agr_vesti/55807,fact_and_geo_recheck,
evt_8242104078dc4eb9acfaf99c,,Управляющая организация должна подготовить документ не позднее 30 дней после завершения работ и в течение пяти дней передать его председателю совета дома или чл,reported,2026-09-05T14:45:40Z,2026-09-05T19:31:44Z,mo-92608000,territory,,,,low,media,https://t.me/uvt24/32702,context,0,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/uvt24/32702,context_only,
evt_a350a2f837c46a994ffac39c,,В Менделеевске официально открылся боксерский клуб «Барс»!,resolved,2026-09-05T14:43:48Z,2026-09-05T19:31:49Z,mo-92639101,settlement,Менделеевск,52.312064,55.894251,low,media,https://t.me/mndnews/80827,useful,79,False,1,1,True,False,False,ready,,,True,200,https://t.me/mndnews/80827,publish_ready,
evt_d4ae7c8f7f25df0087f1d045,,"Сегодня, в рамках празднования Дня города, состоялось торжественное открытие уникальной спортивной площадки на территории Гимназии №1.",reported,2026-09-05T14:35:41Z,2026-09-05T19:31:48Z,mo-92634101,settlement,Лаишево,49.5468376,55.4043358,low,media,https://t.me/novayakama/54843,context,20,False,1,1,False,False,False,needs_review,not_editorially_useful,,True,200,https://t.me/novayakama/54843,fact_and_geo_recheck,
