address,auditResult,confidence,documentCount,evidenceCount,id,lastEvidenceAt,latitude,legacyId,longitude,mapReady,precision,publishReady,publishedAt,reviewed,sceneReady,sourceKind,sourceUrl,state,territoryId,title,usefulnessLevel,usefulnessScore,reasons,warnings
,needs_review,low,1,1,evt_3348e1ffc86b815915a37f14,2026-09-06T06:36:37Z,,,,False,territory,False,2026-09-06T06:34:52Z,False,False,media,https://t.me/rusloboda/35374,unknown,mo-92650000,Можно ли получать свою пенсию и выплату за умершего супруга,context,16,not_editorially_useful,
,needs_review,low,1,1,evt_a2ddbc3c2a3154384350c552,2026-09-06T06:13:23Z,,,,False,territory,False,2026-09-06T06:05:01Z,False,False,media,https://t.me/zainsknews/61084,reported,mo-92627000,"Заблудиться в лесу — возможно, сейчас вам не хватает ясности и ориентиров.",context,0,not_editorially_useful,
,needs_review,low,1,1,evt_bee50feda714b88970c44215,2026-09-06T06:19:04Z,,,,False,territory,False,2026-09-06T06:03:12Z,False,False,media,https://t.me/tetyushy/51391,reported,mo-92655000,Дорожная безопасность: разбираем правила вместе.,context,16,not_editorially_useful,
,needs_review,low,1,1,evt_38576ba3b465d5d43a1ee82c,2026-09-06T06:09:17Z,,,,False,territory,False,2026-09-06T06:02:58Z,False,False,media,https://t.me/alki_vesti/20606,planned,mo-92607000,На данный момент готовятся документы по ремонту будущего здания музея.,context,30,not_editorially_useful|open_state_text_looks_finished,
,needs_review,low,1,1,evt_b73ca474d31efc15d6c1fec2,2026-09-06T06:06:33Z,,,,False,territory,False,2026-09-06T05:48:00Z,False,False,media,https://rsloboda-rt.ru/news/obschestvo-i-myi/rekomendacii-vracei-po-podderzaniiu-immuniteta-v-osennii-sezon,unknown,mo-92650000,Рекомендации врачей по поддержанию иммунитета в осенний сезон,context,0,not_editorially_useful,
,needs_review,low,1,1,evt_542f5e3ba9d74cda1c667110,2026-09-06T05:54:54Z,,,,False,territory,False,2026-09-06T05:30:01Z,False,False,media,https://t.me/zainsknews/61083,reported,mo-92627101,Сегодня в России отмечают День работников нефтяной и газовой промышленности,context,16,not_editorially_useful,
,needs_review,low,1,1,evt_28d4d988b70236c3f69c31f6,2026-09-06T05:59:01Z,,,,False,territory,False,2026-09-06T05:08:49Z,False,False,media,https://t.me/nurlatinform/82282,unknown,mo-92646101,"Доброе утро, Нурлат! 🌥️",context,0,not_editorially_useful,
,ready,medium,1,1,evt_ab6e453cdab41129beb4c400,2026-09-06T06:01:27Z,,,,False,territory,True,2026-09-06T05:08:01Z,False,False,media,https://t.me/TulInformm/35593,reported,mo-92656445,В Теләче районе обновили газовое хозяйство,useful,62,,
,needs_review,low,1,1,evt_791f989c5bc664fb51c9957a,2026-09-06T05:20:45Z,,,,False,territory,False,2026-09-06T05:04:32Z,False,False,media,https://t.me/zariaaleks/32389,reported,mo-92606000,Доброе утро!,context,16,not_editorially_useful,
,needs_review,low,1,1,evt_5065e2cb903daf3b716dce03,2026-09-06T05:04:15Z,,,,False,territory,False,2026-09-06T04:48:08Z,False,False,official,https://t.me/kvb_kzn/3873,reported,mo-92701000,На участке пр.Универсиады завершили восстановительные работы. Благодаря ограничению движения удалось оперативно решить проблему и уложить новое покрытие. Теперь транспорт может беспрепятственно и безопасно проезжать.,context,16,summary_too_short|not_editorially_useful,
